tp_pct,sl_pct,hold_days,sample_count,avg_ret_pct,median_ret_pct,win_rate_pct,tp_rate_pct,sl_rate_pct,hold_to_close_pct,avg_win_pct,avg_loss_pct,profit_factor
6,1,4,79,0.774,-1.0,40.51,10.13,56.96,32.91,3.334,0.969,3.441
7,3,7,79,0.765,0.347,54.43,16.46,32.91,50.63,3.389,2.436,1.391
10,1,6,79,0.759,-1.0,35.44,5.06,62.03,32.91,3.921,0.977,4.012
8,1,5,79,0.756,-1.0,40.51,7.59,59.49,32.91,3.336,1.0,3.336
6,3,6,79,0.746,0.743,58.23,17.72,30.38,51.9,3.009,2.485,1.211
6,3,7,79,0.728,0.347,54.43,20.25,32.91,46.84,3.32,2.436,1.363
7,1,4,79,0.722,-1.0,40.51,6.33,56.96,36.71,3.207,0.969,3.309
8,1,6,79,0.715,-1.0,35.44,8.86,62.03,29.11,3.797,0.977,3.886
9,1,6,79,0.708,-1.0,35.44,5.06,62.03,32.91,3.778,0.977,3.866
5,3,6,79,0.701,0.975,59.49,21.52,29.11,49.37,2.806,2.468,1.137
5,1,5,79,0.681,-1.0,41.77,15.19,58.23,26.58,3.023,1.0,3.023
7,1,5,79,0.68,-1.0,40.51,7.59,59.49,32.91,3.149,1.0,3.149
5,3,7,79,0.676,0.432,55.7,25.32,31.65,43.04,3.084,2.42,1.274
6,1,5,79,0.675,-1.0,40.51,11.39,59.49,29.11,3.136,1.0,3.136
10,1,8,79,0.653,-1.0,26.58,7.59,68.35,24.05,5.148,0.974,5.283
7,1,6,79,0.635,-1.0,35.44,10.13,62.03,27.85,3.573,0.977,3.656
8,1,8,79,0.617,-1.0,26.58,12.66,68.35,18.99,5.011,0.974,5.142
6,1,6,79,0.587,-1.0,35.44,12.66,62.03,25.32,3.435,0.977,3.515
7,1,8,79,0.587,-1.0,26.58,15.19,68.35,16.46,4.901,0.974,5.029
10,1,7,79,0.579,-1.0,32.91,6.33,63.29,30.38,3.735,0.987,3.783
9,1,8,79,0.577,-1.0,26.58,7.59,68.35,24.05,4.862,0.974,4.989
8,1,7,79,0.573,-1.0,32.91,10.13,63.29,26.58,3.716,0.987,3.764
5,1,6,79,0.567,-1.0,36.71,16.46,60.76,22.78,3.229,0.977,3.306
9,1,7,79,0.54,-1.0,32.91,7.59,63.29,29.11,3.614,0.987,3.66
6,1,8,79,0.529,-1.0,26.58,18.99,68.35,12.66,4.68,0.974,4.803
7,1,7,79,0.528,-1.0,32.91,11.39,63.29,25.32,3.579,0.987,3.625
6,1,7,79,0.498,-1.0,32.91,13.92,63.29,22.78,3.488,0.987,3.532
5,1,7,79,0.474,-1.0,34.18,17.72,62.03,20.25,3.251,0.987,3.294
5,1,8,79,0.452,-1.0,27.85,21.52,67.09,11.39,4.146,0.974,4.257
